image_key,ranSel_key,sample_order,camera,file,image_number,operation_id,platfrom,source_path,random_seed,sample_size,sample_base,scorable,quadrat,copied,dest_file,total_pairs,RanSelNo,OpsNo,ImageNo
013_0066,013_064,64,SCS,MRITC_SCS_IN2018_V06_013_20181125T022001Z_0066.JPG,66,IN2018_V06_013,MRITC,NA,7222,110,55,OS,FALSE,FALSE,S064_MRITC_SCS_IN2018_V06_013_20181125T022001Z_0066.JPG,219.5,64,13,66
015_0227,015_064,64,SCS,MRITC_SCS_IN2018_V06_015_20181125T053827Z_0227.JPG,227,IN2018_V06_015,MRITC,NA,3245,264,132,OS,FALSE,FALSE,S064_MRITC_SCS_IN2018_V06_015_20181125T053827Z_0227.JPG,527,64,15,227
021_0081,021_064,64,SCS,MRITC_SCS_IN2018_V06_021_20181126T022642Z_0081.JPG,81,IN2018_V06_021,MRITC,NA,4073,90,45,OS,FALSE,FALSE,S064_MRITC_SCS_IN2018_V06_021_20181126T022642Z_0081.JPG,180,64,21,81
014_0115,014_065,65,SCS,MRITC_SCS_IN2018_V06_014_20181125T030055Z_0115.JPG,115,IN2018_V06_014,MRITC,NA,2966,82,41,OS,FALSE,FALSE,S065_MRITC_SCS_IN2018_V06_014_20181125T030055Z_0115.JPG,163,65,14,115
022_0049,022_065,65,SCS,MRITC_SCS_IN2018_V06_022_20181126T042205Z_0049.JPG,49,IN2018_V06_022,MRITC,NA,5451,101,51,OS,FALSE,FALSE,S065_MRITC_SCS_IN2018_V06_022_20181126T042205Z_0049.JPG,201,65,22,49
013_0176,013_066,66,SCS,MRITC_SCS_IN2018_V06_013_20181125T023331Z_0176.JPG,176,IN2018_V06_013,MRITC,NA,7222,110,55,OS,FALSE,FALSE,S066_MRITC_SCS_IN2018_V06_013_20181125T023331Z_0176.JPG,219.5,66,13,176
015_0491,015_066,66,SCS,MRITC_SCS_IN2018_V06_015_20181125T061257Z_0491.JPG,491,IN2018_V06_015,MRITC,NA,3245,264,132,OS,FALSE,FALSE,S066_MRITC_SCS_IN2018_V06_015_20181125T061257Z_0491.JPG,527,66,15,491
021_0171,021_066,66,SCS,MRITC_SCS_IN2018_V06_021_20181126T024142Z_0171.JPG,171,IN2018_V06_021,MRITC,NA,4073,90,45,OS,FALSE,FALSE,S066_MRITC_SCS_IN2018_V06_021_20181126T024142Z_0171.JPG,180,66,21,171
014_0075,014_067,67,SCS,MRITC_SCS_IN2018_V06_014_20181125T025439Z_0075.JPG,75,IN2018_V06_014,MRITC,NA,2966,82,41,OS,FALSE,FALSE,S067_MRITC_SCS_IN2018_V06_014_20181125T025439Z_0075.JPG,163,67,14,75
022_0150,022_067,67,SCS,MRITC_SCS_IN2018_V06_022_20181126T045545Z_0150.JPG,150,IN2018_V06_022,MRITC,NA,5451,101,51,OS,FALSE,FALSE,S067_MRITC_SCS_IN2018_V06_022_20181126T045545Z_0150.JPG,201,67,22,150
012_0216,012_068,68,SCS,MRITC_SCS_IN2018_V06_012_20181124T234047Z_0216.JPG,216,IN2018_V06_012,MRITC,NA,7165,132,66,OS,FALSE,FALSE,S068_MRITC_SCS_IN2018_V06_012_20181124T234047Z_0216.JPG,263,68,12,216
015_0062,015_068,68,SCS,MRITC_SCS_IN2018_V06_015_20181125T051542Z_0062.JPG,62,IN2018_V06_015,MRITC,NA,3245,264,132,OS,FALSE,FALSE,S068_MRITC_SCS_IN2018_V06_015_20181125T051542Z_0062.JPG,527,68,15,62
021_0008,021_068,68,SCS,MRITC_SCS_IN2018_V06_021_20181126T021432Z_0008.JPG,8,IN2018_V06_021,MRITC,NA,4073,90,45,OS,FALSE,FALSE,S068_MRITC_SCS_IN2018_V06_021_20181126T021432Z_0008.JPG,180,68,21,8
014_0156,014_069,69,SCS,MRITC_SCS_IN2018_V06_014_20181125T030504Z_0156.JPG,156,IN2018_V06_014,MRITC,NA,2966,82,41,OS,FALSE,FALSE,S069_MRITC_SCS_IN2018_V06_014_20181125T030504Z_0156.JPG,163,69,14,156
022_0100,022_069,69,SCS,MRITC_SCS_IN2018_V06_022_20181126T043905Z_0100.JPG,100,IN2018_V06_022,MRITC,NA,5451,101,51,OS,FALSE,FALSE,S069_MRITC_SCS_IN2018_V06_022_20181126T043905Z_0100.JPG,201,69,22,100
012_0051,012_070,70,SCS,MRITC_SCS_IN2018_V06_012_20181124T232012Z_0051.JPG,51,IN2018_V06_012,MRITC,NA,7165,132,66,OS,FALSE,FALSE,S070_MRITC_SCS_IN2018_V06_012_20181124T232012Z_0051.JPG,263,70,12,51
013_0149,013_070,70,SCS,MRITC_SCS_IN2018_V06_013_20181125T023101Z_0149.JPG,149,IN2018_V06_013,MRITC,NA,7222,110,55,OS,FALSE,FALSE,S070_MRITC_SCS_IN2018_V06_013_20181125T023101Z_0149.JPG,219.5,70,13,149
015_0326,015_070,70,SCS,MRITC_SCS_IN2018_V06_015_20181125T055147Z_0326.JPG,326,IN2018_V06_015,MRITC,NA,3245,264,132,OS,FALSE,FALSE,S070_MRITC_SCS_IN2018_V06_015_20181125T055147Z_0326.JPG,527,70,15,326
021_0098,021_070,70,SCS,MRITC_SCS_IN2018_V06_021_20181126T022932Z_0098.JPG,98,IN2018_V06_021,MRITC,NA,4073,90,45,OS,FALSE,FALSE,S070_MRITC_SCS_IN2018_V06_021_20181126T022932Z_0098.JPG,180,70,21,98
012_0315,012_071,71,SCS,MRITC_SCS_IN2018_V06_012_20181124T235212Z_0315.JPG,315,IN2018_V06_012,MRITC,NA,7165,132,66,OS,FALSE,FALSE,S071_MRITC_SCS_IN2018_V06_012_20181124T235212Z_0315.JPG,263,71,12,315
014_0008,014_071,71,SCS,MRITC_SCS_IN2018_V06_014_20181125T024354Z_0008.JPG,8,IN2018_V06_014,MRITC,NA,2966,82,41,OS,FALSE,FALSE,S071_MRITC_SCS_IN2018_V06_014_20181125T024354Z_0008.JPG,163,71,14,8
022_0200,022_071,71,SCS,MRITC_SCS_IN2018_V06_022_20181126T051225Z_0200.JPG,200,IN2018_V06_022,MRITC,NA,5451,101,51,OS,FALSE,FALSE,S071_MRITC_SCS_IN2018_V06_022_20181126T051225Z_0200.JPG,201,71,22,200
013_0094,013_072,72,SCS,MRITC_SCS_IN2018_V06_013_20181125T022311Z_0094.JPG,94,IN2018_V06_013,MRITC,NA,7222,110,55,OS,FALSE,FALSE,S072_MRITC_SCS_IN2018_V06_013_20181125T022311Z_0094.JPG,219.5,72,13,94
014_0171,014_072,72,SCS,MRITC_SCS_IN2018_V06_014_20181125T030734Z_0171.JPG,171,IN2018_V06_014,MRITC,NA,2966,82,41,OS,FALSE,FALSE,S072_MRITC_SCS_IN2018_V06_014_20181125T030734Z_0171.JPG,163,72,14,171
015_0194,015_072,72,SCS,MRITC_SCS_IN2018_V06_015_20181125T053307Z_0194.JPG,194,IN2018_V06_015,MRITC,NA,3245,264,132,OS,FALSE,FALSE,S072_MRITC_SCS_IN2018_V06_015_20181125T053307Z_0194.JPG,527,72,15,194
021_0053,021_072,72,SCS,MRITC_SCS_IN2018_V06_021_20181126T022202Z_0053.JPG,53,IN2018_V06_021,MRITC,NA,4073,90,45,OS,FALSE,FALSE,S072_MRITC_SCS_IN2018_V06_021_20181126T022202Z_0053.JPG,180,72,21,53
014_0090,014_073,73,SCS,MRITC_SCS_IN2018_V06_014_20181125T025709Z_0090.JPG,90,IN2018_V06_014,MRITC,NA,2966,82,41,OS,FALSE,FALSE,S073_MRITC_SCS_IN2018_V06_014_20181125T025709Z_0090.JPG,163,73,14,90
022_0001,022_073,73,SCS,MRITC_SCS_IN2018_V06_022_20181126T040605Z_0001.JPG,1,IN2018_V06_022,MRITC,NA,5451,101,51,OS,FALSE,FALSE,S073_MRITC_SCS_IN2018_V06_022_20181126T040605Z_0001.JPG,201,73,22,1
013_0204,013_074,74,SCS,MRITC_SCS_IN2018_V06_013_20181125T023706Z_0204.JPG,204,IN2018_V06_013,MRITC,NA,7222,110,55,OS,FALSE,FALSE,S074_MRITC_SCS_IN2018_V06_013_20181125T023706Z_0204.JPG,219.5,74,13,204
015_0458,015_074,74,SCS,MRITC_SCS_IN2018_V06_015_20181125T060837Z_0458.JPG,458,IN2018_V06_015,MRITC,NA,3245,264,132,OS,FALSE,FALSE,S074_MRITC_SCS_IN2018_V06_015_20181125T060837Z_0458.JPG,527,74,15,458
021_0143,021_074,74,SCS,MRITC_SCS_IN2018_V06_021_20181126T023702Z_0143.JPG,143,IN2018_V06_021,MRITC,NA,4073,90,45,OS,FALSE,FALSE,S074_MRITC_SCS_IN2018_V06_021_20181126T023702Z_0143.JPG,180,74,21,143
014_0049,014_075,75,SCS,MRITC_SCS_IN2018_V06_014_20181125T025034Z_0049.JPG,49,IN2018_V06_014,MRITC,NA,2966,82,41,OS,FALSE,FALSE,S075_MRITC_SCS_IN2018_V06_014_20181125T025034Z_0049.JPG,163,75,14,49
022_0102,022_075,75,SCS,MRITC_SCS_IN2018_V06_022_20181126T043945Z_0102.JPG,102,IN2018_V06_022,MRITC,NA,5451,101,51,OS,FALSE,FALSE,S075_MRITC_SCS_IN2018_V06_022_20181126T043945Z_0102.JPG,201,75,22,102
012_0249,012_076,76,SCS,MRITC_SCS_IN2018_V06_012_20181124T234422Z_0249.JPG,249,IN2018_V06_012,MRITC,NA,7165,132,66,OS,FALSE,FALSE,S076_MRITC_SCS_IN2018_V06_012_20181124T234422Z_0249.JPG,263,76,12,249
